Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,COR,127143,Pleuronectes platessa,340,F,-9,0,0,10,5,3,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,340,M,-9,0,0,1,0,2,5,0,1,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,350,F,-9,0,0,10,8,4,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,350,M,-9,0,0,0,2,3,1,1,4,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,360,F,-9,0,0,2,8,3,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,360,M,-9,0,0,0,0,0,0,0,4,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,370,F,-9,0,0,1,9,4,1,0,1,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,370,M,-9,0,0,0,1,2,0,1,1,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,380,F,-9,0,0,0,5,2,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,380,M,-9,0,0,0,0,2,1,0,1,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,390,F,-9,0,0,0,3,2,1,2,1,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,390,M,-9,0,0,0,0,0,0,0,2,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,400,F,-9,0,0,0,1,3,4,4,2,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,410,F,-9,0,0,0,0,2,4,2,2,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,420,F,-9,0,0,0,0,2,6,2,2,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,430,F,-9,0,0,0,0,0,2,2,5,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,440,F,-9,0,0,0,0,0,0,0,1,2,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,450,F,-9,0,0,0,0,0,0,0,3,1,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,460,F,-9,0,0,0,0,1,0,0,3,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,470,F,-9,0,0,0,0,0,0,0,1,1,1,0
BTS,2003,3,COR,127143,Pleuronectes platessa,480,F,-9,0,0,0,0,1,2,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,490,F,-9,0,0,0,0,0,0,0,3,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,500,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,510,F,-9,0,0,0,0,0,0,0,0,1,1,0
BTS,2003,3,COR,127143,Pleuronectes platessa,520,F,-9,0,0,0,0,0,0,0,0,0,1,1
BTS,2003,3,COR,127143,Pleuronectes platessa,530,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,540,F,-9,0,0,0,0,0,0,0,0,0,1,0
BTS,2003,3,COR,127143,Pleuronectes platessa,550,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,580,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,50,M,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,60,F,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,60,M,-9,4,0,0,0,0,0,0,0,0,0,0
